国电电力600795.SH,山西汾酒600809.SH,中国电建601669.SH,中煤能源601898.SH,同仁堂600085.SH
2.54,278.99,6.34,8.09,32.98
2.68,268.02,6.97,8.37,32.52
2.75,267.14,6.92,8.15,33.82
2.77,280.77,7.35,8.45,35.1
2.76,285.18,8.09,8.88,35.05
3,275.46,8.63,9.17,34.74
2.94,275.4,8.65,9.7,34.98
2.86,289.7,8.85,9.11,34.48
2.91,293.22,8.79,9.52,33.51
2.82,299.59,8.51,9.17,32.97
2.86,289.98,8.19,9.39,33.09
2.85,297.25,7.98,9.69,31.99
2.96,316.86,8.13,9.15,31.51
3.26,311,8.94,9.77,31.35
3.59,311.91,9.65,9.47,31.63
3.47,321.71,9.46,8.98,31.64
3.12,324.9,8.51,8.6,32.16
3.31,317,8.36,9.04,31.43
3.19,318,8.51,8.69,31.17
3.25,315.5,8.47,9.02,31.36
3.13,325,7.62,8.61,31.96
3.11,317.6,6.98,8.92,32.04
2.94,319,6.65,9.1,31.6
2.8,333.8,6.58,8.19,33.81
2.78,340.45,6.67,7.94,33.37
2.77,346.8,6.78,8.14,33.6
2.8,312.12,7.02,8.91,33.46
2.78,329.99,7.18,9.06,34.1
3.06,329.8,7.19,8.15,33.52
2.97,326.62,7.11,8.29,32.91
2.83,328.13,6.91,7.9,33.11
2.84,323.61,7.6,7.98,32.77
2.84,319.89,8.21,7.9,32.83
2.93,310.4,8.16,7.53,31.9
2.87,307.1,8.09,7.2,31.56
2.79,301.5,8.21,6.98,32.08
2.74,286.7,8.12,7.16,34.08
2.63,285.9,7.81,6.87,33.85
2.61,282.1,7.9,7.04,34.17
2.64,293.32,7.9,6.86,34.26
2.5,295.28,7.24,6.49,33.5
2.48,299.9,7.13,6.55,32.27
2.5,302.01,7.08,6.45,32.67
2.46,297.9,6.83,6.29,32.72
2.47,295,6.84,6.33,32.51
2.46,291.89,6.79,6.18,32.55
2.47,296.25,6.69,6.18,32.6
2.45,310.7,6.64,6.05,33.62
2.47,309.95,6.67,6.06,33.73
2.49,311.12,6.79,6.05,32.82
2.5,311.7,6.68,6.15,33.48
2.5,310.2,6.75,6.1,33.18
2.54,308.17,6.81,6.2,35.24
2.56,318.01,6.67,6.28,34.44
2.58,315.18,6.68,6.17,37
2.54,315,6.28,6.06,36.81
2.56,315.1,6.73,6.04,36.12
2.54,310.02,6.57,6.05,36.31
2.59,312.42,6.67,6.17,37.11
2.57,314.98,6.99,6.21,36.8
2.68,324.51,7.61,6.53,36.8
2.7,321,7.39,6.5,37.1
2.82,318.7,7.68,6.63,38.35
2.8,330.84,7.72,6.59,38.37
2.95,334,7.53,6.59,37.99
2.91,334.11,7.44,6.45,37.21
2.91,339.67,7.75,6.48,37.6
2.88,340.93,7.59,6.26,37.65
2.98,335,7.97,6.26,37.47
2.97,313,8.4,6.89,38.01
3,304.3,8.39,7.09,38.9
2.91,310.9,8.47,6.74,39.94
2.95,303.84,8.4,6.89,39.99
2.95,299.01,8.1,7.12,42.8
3.09,306.08,8.4,7.1,43.35
3.05,307.45,8.19,6.74,43.67
3.05,321.41,8.2,6.62,43.51
2.93,326,7.89,6.4,42.26
2.86,315.53,7.81,6.37,40.05
2.9,320.38,8.07,6.36,40.89
3.17,315.78,8.08,6.29,44.98
3.04,310.5,7.89,6.43,49.48
2.96,305.01,7.6,6.36,48.4
2.95,301.8,8.36,6.36,51.45
2.89,295,8.71,6.44,50.99
2.87,288.4,8.55,6.65,50.53
2.85,290,8.44,6.57,52.56
2.86,285.23,8.41,6.53,49.59
2.91,280.88,8.21,6.65,47.9
2.85,275.9,7.89,6.37,48.37
2.83,279.37,7.95,6.28,48.41
2.9,283.28,8.68,6.36,48.82
2.89,277.75,8.73,6.5,47.59
2.86,277.98,9.4,6.61,49.18
2.85,280.23,8.96,6.66,45.95
2.84,274.75,8.96,6.64,47.09
2.63,268.33,8.7,6.29,44.65
2.7,285.6,8.89,6.27,43.76
2.68,286.42,9.1,6.27,43.35
2.63,275.15,8.66,5.98,41.91
2.78,268.3,9.53,6.44,42.93
2.84,256.5,9.68,6.71,42.75
2.91,271,9.53,6.66,45.43
2.91,269.9,9.41,6.85,46.69
2.86,282.6,9.06,6.86,42.97
2.77,293.1,9.12,6.8,42.51
2.75,299.37,9.05,6.72,44.14
2.73,299.16,9.15,6.75,43.28
2.71,297.17,8.95,6.68,43.3
2.72,298.67,9.08,6.89,43.19
2.72,295.32,8.92,7.06,43.63
2.68,290.76,8.29,7.15,42.5
2.68,294.81,8.38,6.99,43.01
2.62,290.39,7.78,6.95,42.84
2.78,289.8,7.78,6.66,44.84
2.82,292.23,7.65,6.81,45.8
2.85,297.27,8.02,7.1,45.49
2.81,299.13,7.97,7.26,46.81
2.84,286.8,8,7.57,46.42
2.87,283,7.78,7.7,45.71
2.85,272.4,7.93,7.77,44.7
2.77,273.94,7.9,7.44,40.78
2.84,273.95,7.93,7.56,39.83
2.83,294,8.08,7.49,42.08
2.75,287.12,7.85,7.45,43.71
2.63,268,7.6,7.16,41.42
2.43,258.95,6.87,6.49,39
2.52,270.3,7.09,6.56,40.2
2.5,280,7.12,6.7,40.98
2.54,274.34,7.41,7.06,41.7
2.52,274.39,7.36,7.28,41.51
2.53,270.7,7.29,7.64,40.97
2.54,271.47,7.28,7.54,43.69
2.49,263.4,7.1,7.71,43.36
2.47,257.8,6.92,7.64,43.39
2.51,241.25,7.06,7.88,43.44
2.48,242.89,6.93,8.07,45.95
2.51,254.6,7.28,7.91,45.45
2.52,254.9,7.29,8.09,46.74
2.56,258.81,7.22,8.08,45.87
2.57,250.85,7.48,8,45.94
2.57,250.42,7.47,7.97,44.14
2.6,247.5,8.05,8.11,43.21
2.54,229.83,8.09,7.98,42.86
2.58,252.81,7.85,8.78,42.92
2.54,256.4,7.61,9.66,41.15
2.54,272.52,7.95,10.16,41.9
2.61,265.7,7.74,9.94,42.19
2.68,264.21,7.57,9.79,41.49
2.69,261.14,7.59,9.83,41.82
2.67,264.01,7.11,9.25,40.53
2.59,262,6.8,9.05,39.03
2.74,261.08,7,9.09,37.97
2.65,253.5,6.81,8.46,35.3
2.73,257.51,6.93,8.18,34.38
2.86,268.85,7.48,8.6,35.75
3,272,7.61,9.46,35.49
3.02,272,7.76,9.4,36.63
3.09,267.06,7.61,9.49,40.29
3.03,253.66,7.35,9.42,40.54
2.96,245.37,7.33,9.21,40.07
3.12,251.07,7.48,8.88,40.25
3.1,256.79,7.31,9.03,40.32
3.13,258.81,7.12,8.94,40.88
3.19,258.41,7.07,9.36,41.92
3.24,254.95,7.17,9.51,42.54
3.16,258,7.08,9.65,42.59
3.34,258.19,7.08,9.39,41.19
3.34,253,7.6,9.34,40.99
3.35,262.98,7.72,9.76,42.6
3.31,255,7.53,9.83,43.03
3.33,252.04,7.22,9.72,41.87
3.46,248.26,7.75,9.93,42.56
3.42,245.6,7.74,10.21,44.41
3.52,251.29,7.86,10.3,44.55
3.48,261.25,7.88,10.11,45.61
3.6,272.5,7.81,9.96,46.57
3.51,271.6,7.67,10.27,45.08
3.5,270.25,7.72,9.89,45.68
3.65,276.78,7.85,10.22,45.9
3.6,286.1,7.71,10.14,46.58
3.69,286.5,7.69,10.97,46.72
3.76,283.37,7.97,10.93,46.05
3.8,286.97,7.9,11.25,46.75
3.73,276.7,7.77,11.02,49.77
3.8,280.3,7.91,11.4,49.2
3.72,286.01,8.33,11.25,49.57
3.69,283,8.09,10.69,51.3
3.78,287.88,8.09,10.6,52.12
3.77,298.8,8.09,9.73,52.51
3.96,296.55,7.96,9.86,51
3.89,293.06,7.92,9.69,51.17
3.78,300.28,7.99,9.99,52.65
3.74,302.8,7.83,9.8,52.75
3.72,319.5,7.96,10.23,52.79
3.77,317.6,7.96,10.42,54.06
3.92,315.94,7.99,10.4,52.9
3.91,324.8,7.87,10.38,52.88
3.98,312.15,7.86,10.34,49.01
4.06,308.9,7.71,10.28,51.13
4.13,306.24,7.73,10.86,51.03
4.08,298.2,7.52,10.04,50
4.07,299.6,7.48,10.26,49.99
4.16,300.77,7.57,10.16,50.06
4.3,293.2,7.6,9.97,49.82
4.22,290.39,7.87,9.82,48.9
4.39,289.76,7.92,9.66,48.85
4.08,288.42,7.77,9.47,49.8
4.13,289.07,7.48,9.18,49.68
4.25,287.3,7.59,9.47,48.63
4.1,285,7.58,9.53,48.59
4.12,290.39,7.53,9.44,49.26
3.89,290.2,7.54,9.08,49.1
3.89,290.8,7.61,9.1,48.99
3.87,292.81,7.38,9.1,49.2
3.87,296.2,7.42,9.28,50.08
3.9,287.12,7.32,9.23,49.95
3.82,286.28,7.32,9.24,48.9
3.81,274.17,7.25,8.74,47.06
3.83,271.66,7.26,8.86,46.7
3.69,266.5,6.89,8.64,45.64
3.59,267.18,6.79,8.55,47.25
3.67,273.8,6.87,8.57,49.35
3.69,275.53,6.94,8.52,49.16
3.83,276.77,6.98,8.76,49.81
3.77,276.89,6.97,9.1,49.64
3.74,273.07,6.96,8.94,49.08
3.82,277.85,7.06,9.07,49.55
3.93,283.27,7.17,9.27,49.41
4.06,277.88,7.32,9.27,48.62
4.11,268.79,7.34,9.16,48.58
4.12,269.4,7.47,9.18,48.55
3.76,266.57,7.27,9.04,48
4,265.04,7.36,9.42,47.08
3.94,265.43,7.77,9.63,48.38
4.29,261.65,7.81,9.94,48.53
4.27,263,7.7,9.85,47.81
4.3,276,7.83,10.38,47.68
4.48,286.93,7.73,10.12,47.86
4.43,285.3,7.96,10.72,48.16
4.41,284.09,7.83,10.26,47.38
4.35,293,7.72,9.98,46.75
4.36,292.58,7.65,10.26,44.81
4.48,288.53,7.65,10.06,44.29
4.53,282.78,7.9,10.82,44.09
4.61,286.02,7.99,11.07,45.16
4.61,278.12,8.24,11.02,44.92
4.71,285.59,8.1,10.86,45.65
4.74,291.21,8.18,10.89,45.78
4.61,293,8.09,10.75,46.5
4.59,292.3,8.01,10.68,45.52
4.43,296,7.88,10.67,45.49
4.28,289.5,7.47,10.12,44.39
4.17,293.75,7.4,10.2,44.17
4.14,296.09,7.23,10.32,45.6
4.26,292.15,7.38,10.61,44.06
4.26,292.44,7.27,11.17,42.5
4.17,291.89,7.19,11.19,43.38
4.19,299.65,7,10.64,43.3
4.23,308.18,7.05,10.53,44.63
4.09,306.85,6.85,10.37,44.33
4.09,304.28,6.89,10.59,44.87
4.07,302.89,6.97,10.64,45.55
4.15,283.1,7.05,10.94,45.28
4.47,283.1,7.14,11.17,46.3
4.54,278.5,7.29,11.06,46.55
4.59,273.6,7.29,10.22,47.2
4.61,277.94,7.27,10.1,49.12
4.54,271.58,7.46,9.82,49.95
4.65,270.5,7.49,9.72,52.5
4.63,262.6,7.51,9.79,50.83
4.53,269.69,7.42,9.64,50.73
4.75,266.5,7.62,9.75,51.31
4.62,242.84,7.61,9.48,52.68
4.79,244.1,7.67,9.49,51.27
4.94,240.95,7.67,9.2,52.34
4.65,229.7,7.7,9.18,56.33
4.46,234.63,7.53,9.15,50.7
4.37,232.38,7.04,8.82,48.75
4.38,250.98,7.24,8.86,47.3
4.39,255.91,7.23,8.98,49.58
4.31,248.66,7.12,8.98,48.68
4.45,259.83,7.3,9.15,49.8
4.23,264,7.35,9.27,48.98
4.22,258.26,7.23,9.14,47.5
4.22,252.72,7.27,9.04,47.45
4.21,258.99,7.2,9.01,46.1
4.24,268.48,7.37,9.25,46.09
4.16,262.12,7.19,9.09,48.2
4.19,264.2,7.26,9.13,48.17
4.23,266.11,7.19,9.17,46.87
4.15,259.57,7.15,8.84,47.2
4.16,263.23,7.13,8.84,46.51
4.27,255.99,7.07,8.82,46.8
4.34,255.8,7.44,9.04,45.26
4.42,253.3,7.68,9.26,45.99
4.51,248.99,7.5,9.28,46.71
4.56,248.88,7.69,9.45,46.99
4.68,245.89,7.74,9.41,47.18
4.52,260.86,7.73,9.57,47.71
4.53,256.05,7.64,9.7,49.15
4.46,260.62,7.58,9.64,49.15
4.39,261.99,7.51,9.45,48.53
4.44,264.4,8.03,9.72,48.89
4.21,274,7.74,9.6,48.12
4.24,275.31,7.63,9.4,48.51
4.14,278,7.61,9.33,48.54
4.09,284.19,7.63,9.34,48.91
3.97,277.7,7.38,9.05,49.97
3.99,279.05,7.34,9.02,48.83
4,288.92,7.35,9.2,46.91
4.01,284.06,7.27,9.01,46.96
4.1,286.81,7.27,9.17,47.5
3.98,283.99,7.14,8.85,46
3.99,271.74,7.11,8.89,45.61
3.96,277.84,7.05,8.9,45.29
3.83,282.78,6.94,8.71,44.27
3.86,283.96,6.85,8.63,43.86
4.01,281.7,6.89,8.66,45.24
4.01,286,6.94,8.88,45.28
4.16,285.35,6.9,8.84,44.36
4.15,282.83,6.92,8.59,44.7
4.27,284.99,7.08,8.62,44.68
4.34,275.84,7.1,8.84,45.43
4.34,276,7.07,8.49,45.76
