序号,名称,1_max,2_max,1_avg,2_avg,瓶颈距离,一维持续性景观的L1范数,一维持续性景观的L2范数 ,持续熵
234,星宇股份601799.SH,0.764942649,0,0.323310843,0,0.382471325,4.35710501,1.189283518,1.221590223
235,中国交建601800.SH,0.461592385,0,0.223598562,0,0.230796192,3.529664058,0.874037616,1.693996754
236,中海油服601808.SH,10000,0,1428.753364,0,5000,38569.46079,13483.99725,0.001430526
237,京沪高铁601816.SH,1.381412498,0.141534216,0.320571192,0.078830333,0.690706249,4.736057005,1.732702003,1.407538362
238,光大银行601818.SH,1.12493324,0,0.420699598,0,0.56246662,4.385682347,1.517583795,0.351183123
239,成都银行601838.SH,0.464845255,0.089486564,0.163183693,0.089486564,0.232422628,1.90459875,0.5995959,1.570581493
240,中国石油601857.SH,2.193479097,0.139560575,0.487197277,0.110446759,1.096739549,10.33894779,3.101563417,1.724476531
241,福莱特601865.SH,1.085806167,0,0.511333823,0,0.542903084,8.36663816,2.068702951,1.390539434
242,正泰电器601877.SH,3.705076731,0.704187739,1.324199741,0.704187739,1.852538366,11.70509925,4.45588965,0.671186879
243,浙商证券601878.SH,0.352926871,0,0.192419541,0,0.176463435,2.698862674,0.668302591,0.989275151
244,中国银河601881.SH,0.913746291,0.360144501,0.309393004,0.244024661,0.456873145,4.56861719,1.320408657,2.285987556
245,中国中免601888.SH,0.049112345,0.116380668,0.028889335,0.116380668,0.058190334,0.376654978,0.136332914,1.098323245
246,中煤能源601898.SH,2.289120398,0.47389859,0.852449316,0.294247124,1.144560199,7.648311725,2.756699707,1.500417992
247,紫金矿业601899.SH,1.554433216,0.095240515,0.405058423,0.095240515,0.777216608,6.954443426,2.162752914,1.986459807
248,方正证券601901.SH,0.122166862,0.036518738,0.068558816,0.024286127,0.061083431,0.511098366,0.15985467,1.753329823
249,中远海控601919.SH,4.77352389,0.635619954,3.6887803,0.352841059,2.386761945,26.28721396,7.30074191,1.684125793
250,建设银行601939.SH,0.118314186,0,0.118314186,0,0.059157093,0.456331435,0.159534816,0
251,玲珑轮胎601966.SH,0.588365411,0,0.315619376,0,0.294182705,2.269293664,0.793351758,0.248223461
252,中国核电601985.SH,0.660438804,0.003355645,0.137129662,0.003355645,0.330219402,2.593597793,0.891516788,0.801074887
253,中国银行601988.SH,1.675814442,0,0.715589407,0,0.837907221,7.519164352,2.325391283,1.080145424
254,中国重工601989.SH,10000,0,5000.216258,0,5000,38569.46079,13483.99725,0.000477844
255,中金公司601995.SH,0.106707214,0,0.106707214,0,0.053353607,0.411563971,0.143883978,0
256,中信银行601998.SH,1.024014283,0,0.310267018,0,0.512007142,4.213157378,1.288193701,1.774516859
257,中科曙光603019.SH,0.478973977,0,0.199872912,0,0.239486988,2.494653343,0.709589068,1.46781768
258,弘元绿能603185.SH,9999.81445,0,3333.379712,0,4999.907225,38568.14876,13483.62196,0.00039052
259,公牛集团603195.SH,0.54427422,0.069238624,0.232635981,0.046984117,0.27213711,2.742038352,0.769067745,1.71308023
260,药明康德603259.SH,0.723409763,0,0.254565314,0,0.361704882,3.436077615,1.028065118,1.118492186
261,合盛硅业603260.SH,9999.877304,0,5000.017492,0,4999.938652,38568.5932,13483.74909,0.000190123
262,海天味业603288.SH,0.376256925,0,0.376256925,0,0.188128462,1.451202671,0.507344734,0
263,斯达半导603290.SH,1.736505337,0,0.696629219,0,0.868252668,9.279684082,2.606676071,1.165775297
264,今世缘603369.SH,0.685469792,0.045072281,0.381901714,0.045072281,0.342734896,1.950357336,0.757388329,1.465334121
265,万泰生物603392.SH,0.248965275,0,0.156858749,0,0.124482637,1.306831305,0.380455884,1.663734903
266,科沃斯603486.SH,1.850393296,0.111264761,1.120528697,0.068183486,0.925196648,11.66169724,3.138547963,1.292121759
267,韦尔股份603501.SH,0.138997618,0.02394844,0.090309755,0.02394844,0.069498809,1.013972052,0.254341381,0.940973912
268,璞泰来603659.SH,1.941309246,0.045038304,0.768782376,0.045038304,0.970654623,7.122598664,2.42951735,1.050425146
269,华友钴业603799.SH,1.748065126,0.022918791,0.80078978,0.022918791,0.874032563,7.025863148,2.335344393,0.676011846
270,福斯特603806.SH,0.713198346,0.072370132,0.518378427,0.072370132,0.356599173,2.723273307,0.913551174,0.82143024
271,欧派家居603833.SH,1.554500318,0,0.918580201,0,0.777250159,11.09037762,2.777518819,1.360016501
272,金域医学603882.SH,0.41513436,0,0.210514115,0,0.20756718,0.438376158,0.30773295,1.363151992
273,晨光股份603899.SH,0.578174863,0,0.329886338,0,0.289087432,2.271053029,0.780691535,0.374185047
274,兆易创新603986.SH,0.475970518,0.095072023,0.152291644,0.095072023,0.237985259,2.963817375,0.775203305,1.815974198
275,洛阳钼业603993.SH,3.69103426,0.070544611,1.750964754,0.038990133,1.84551713,18.93929584,5.511825995,1.337923214
276,容百科技688005.SH,2.518467912,0.07556093,0.436936723,0.07556093,1.259233956,7.40423114,2.930694235,1.417999691
277,澜起科技688008.SH,5.074077592,0.621779583,1.091206347,0.439483974,2.537038796,17.43642789,6.283873683,1.187847683
278,中微公司688012.SH,4.400741724,1.020353892,1.159113726,0.472117553,2.200370862,16.46723586,5.441287896,1.503155955
279,传音控股688036.SH,0.3156699,0,0.180561365,0,0.15783495,1.242425265,0.426377099,0.378450596
280,凯赛生物688065.SH,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597
281,金山办公688111.SH,2.608433453,0.039648283,1.445298513,0.039648283,1.304216727,17.01070189,4.408131944,1.081947221
282,沪硅产业688126.SH,5.223234394,0.715989677,2.170015931,0.440753724,2.611617197,23.05583625,7.043903762,1.331113854
283,石头科技688169.SH,0.269132442,0.035435215,0.10612538,0.035435215,0.134566221,0.887402452,0.309335519,1.513884226
284,华熙生物688363.SH,5.907640062,0.621141987,5.907640062,0.533370059,2.953820031,17.90768376,7.039578443,0.531731631
285,华润微688396.SH,10000,0.034918386,1666.738878,0.034918386,5000,38569.46079,13483.99725,0.000568188
286,奇安信-U688561.SH,1.115309126,0,1.09385624,0,0.557654563,8.299984704,2.068989335,0.69295485
287,天合光能688599.SH,0.365861902,0,0.268687126,0,0.182930951,2.384428664,0.618436175,1.338949127
288,中芯国际688981.SH,0.143425886,0.013595649,0.072983358,0.013595649,0.071712943,0.654666993,0.199750108,1.292851801
,,,,,,,,,
140,中国东航600115.SH,1.58939762,0.085498168,0.83819027,0.085498168,0.79469881,10.49172002,2.7088703,1.407429109
141,重庆啤酒600132.SH,0.754916066,0.042312924,0.276580089,0.042312924,0.377458033,2.643259742,0.917729408,1.664847119
142,中国船舶600150.SH,2.010710671,0.132293285,0.977771684,0.132293285,1.005355335,8.461394198,2.748042989,0.969647888
143,中国巨石600176.SH,1.5657767,0,1.165137842,0,0.78288835,9.382401361,2.513614959,1.058949805
144,生益科技600183.SH,1.031299625,0,0.510409423,0,0.515649813,4.23916139,1.402845779,0.855812738
145,兖矿能源600188.SH,1.017892636,0.027362655,1.017892636,0.027362655,0.508946318,3.622071736,1.328809261,0.121194355
146,复星医药600196.SH,8.782825112,1.527703719,4.904740302,1.527703719,4.391412556,29.50339819,10.88028895,0.685353485
147,南山铝业600219.SH,3.924188506,0.602155939,1.246655199,0.407454699,1.962094253,16.53319268,5.160167477,1.288743195
148,圆通速递600233.SH,0.331079117,0,0.22494547,0,0.165539558,1.442744311,0.457828492,0.577291887
149,恒瑞医药600276.SH,0.057260727,0,0.057260727,0,0.028630364,0.220851538,0.077210349,0
,减,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0
111,迈瑞医疗300760.SZ,1.6503312564400103,0.22389724286213952,0.5768202558727272,0.11234976570543787,0.825165628220005,8.12448864486749,2.3746769973169264,1.4072915309983705
111,迈瑞医疗300760.SZ,1.2363830504413387,0.02293222369148662,0.8320177131746752,0.02293222369148662,0.6181915252206692,6.260144744326363,1.806948929167324,1.078478189166264
