weidu,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288
1,0.6514683995559487,0.6858746234405438,0.9851380301804293,0.9968072065032988,0.5263725444512453,0.5263725444512453,0.9999999999999962,1.0,0.5263725444512453,0.6858746234405438,1.0,0.9999999879982487,0.5263725444512453,0.999997079243414,0.9999999735624823,0.9999988319684682,0.5445142345546997,0.5263725444512453,0.6858746234405438,1.0,0.5263725444512453,1.0,0.9999998190577718,1.0,0.5263725444512453,0.9999999980550549,0.5263725444512453,0.9317880975284593,0.9876934289033229,0.8760107117924408,1.0,0.9999999999983058,1.0,0.9999999999977489,0.9847001402630938,0.5263725444512453,0.9986878838009856,0.6334319170279152,0.7339355368067371,1.0,0.9999989257751674,0.9454526373901218,0.9999999998874605,1.0,1.0,0.9013767796892,0.9999980379353773,1.0,0.9999999999468465,0.999942078194348,0.9259018811615904,1.0,0.8932544204037491,0.999765418165486,0.9999999998198226,0.9999987607377175,0.5263725444512453,0.999942078194348,0.9479814071179157,0.5263725444512453,0.8665964019097286,1.0,0.9987109205114146,1.0,0.9769057798642445,0.5755256788954793,0.6858746234405438,0.999990643387629,0.5263725444512453,0.9136851106245871,0.9741693820376436,0.9166284817300175,0.9999999923020423,0.7866133233007205,0.9242131675619961,1.0,0.9989754135608213,1.0,0.595590137546363,0.9997044419855912,1.0,0.6858746234405438,0.9999999999191136,0.9996656433404832,0.6858746234405438,0.9999997445562614,0.9856308120028614,0.9989420358426387,0.9523144758220833,0.999942078194348,1.0,1.0,0.9977985318049437,1.0,0.9631960137172556,0.9789342056890505,0.9120660030999429,0.5263725444512453,0.9998722152993667,0.9431064247227323,0.9613753946740659,0.9999998852371151,0.6858746234405438,0.8445547973946201,0.5263725444512453,0.9998880138394373,0.998640404650411,1.0,0.9999999312128537,0.9974655055129809,0.9998911785420426,0.9989636401173599,1.0,0.5263725444512453,0.9999999999698579,0.9891613501301104,0.5263725444512453,0.5263725444512453,0.9970535718919489,0.9317880975284593,0.9968109043828501,0.9956444018902159,0.5181407844973193,1.0,0.9999999999999989,1.0,0.999488162630059,1.0,0.8823071039025259,0.5181407844973193,0.9155866244224604,1.0,0.9999999955792387,0.9956444018902159,0.5181407844973193,1.0,0.9664520632346459,0.7737648249689562,0.9930324951975741,0.9999895742498653,0.9848969138788362,0.9999675742292387,0.5263725444512453,0.5263725444512453,1.0,1.0,0.9999999979762713,1.0,0.5795668207273872,0.9999279609126834,0.9673874660815597,0.5263725444512453,0.9997531403266785,0.9999842742507781,1.0,0.8441983149384694,1.0,0.9999999997436386,0.9999997866404038,0.9999992164633122,0.9682939902360119,0.5263725444512453,0.5263725444512453,0.5263725444512453,0.6207318560141595,0.9988878406446265,0.5263725444512453,0.9942061513132271,0.9999997866404038,0.6843615517395063,0.959185969172572,0.9895473960928133,0.7520469690129108,0.9997185036175305,1.0,0.9999960704408749,1.0,0.9790815482648398,0.9993841149498798,1.0,0.9998212249290834,0.5263725444512453,0.9948982540793355,0.9972420555205092,0.5263725444512453,1.0,0.7859836624678681,1.0,0.9913135452556234,0.5263725444512453,0.997104914994615,0.9999952751629995,0.5263725444512453,0.9999990024196699,0.5263725444512453,1.0,0.9963818307090948,1.0,0.9999874778920755,0.581753291178292,0.581753291178292,0.9998919886418749,0.842703071027811,0.9997237324855126,0.9999070309963154,0.9969281182694978,1.0,0.5502462104176621,0.7553378623956085,0.9999999998727296,0.7553378623956085,0.6246657359901696,0.8413034099792593,0.9999966645498651,0.6229533659489325,0.5263725444512453,0.9078698054076132,0.9981749402408291,0.8985884770949621,1.0,0.9468319961660768,0.9999997019918263,0.9981749402408291,0.9999980919291084,1.0,0.986826892226728,0.9998298116429137,1.0,0.9973622052658454,1.0,0.9705886795064381,0.9474294067545382,1.0,0.9946784770861499,0.9882113359467727,0.9999990024196699,0.9987632194321896,0.5263725444512453,1.0,0.9999958760122604,0.9998713109398549,1.0,0.962096715555909,0.9987335303130299,0.7820885631207317,1.0,0.9998717773411945,0.8386435578462449,0.9999999999997999,0.6448798078874978,0.9447210379344344,1.0,0.9998680710030431,0.9998298116429137,0.6327913571723296,0.9967994994035763,0.97073442353507,0.9999958760122604,0.9820454650154656,0.5263725444512453,1.0,0.5263725444512453,0.9999704148744286,0.968757973564216,0.9139562076798442,0.9999971070042665,0.8341594468378762,1.0,1.0,0.9779226636582776,0.9999919815156484,0.8471778855944115,0.9474620818946697,0.9853376255207555,0.9999999992511726,0.9999671031635655,0.9999999998152078,0.9999999993032509,0.8461949453158432,1.0,0.9999999810900896,0.9999999999983413,0.8828995002131188,0.9999999999627078,1.0,0.9998144056183386,1.0,0.8194739995517003
2,0.7670895276339106,0.7850361881718323,0.9558521585645219,0.9888516402582296,0.6997935946127359,0.6997935946127359,0.9999999982801493,1.0,0.6997935946127359,0.7850361881718323,1.0,0.9999675238651211,0.6997935946127359,0.9992911616380924,0.9999455774942797,0.9996690305931911,0.7098810073109758,0.6997935946127359,0.7850361881718323,1.0,0.6997935946127359,1.0,0.9998286663034714,1.0,0.6997935946127359,0.9999909936782324,0.6997935946127359,0.909884451812427,0.9646854761446672,0.842068950649669,1.0,0.9999994110735857,1.0,0.9999996906512019,0.9551242769446483,0.6997935946127359,0.9842952038398574,0.757632259164571,0.7842884928073418,1.0,0.9998061332760017,0.8870611802100914,0.9999984741288556,1.0,1.0,0.8627738137178405,0.9995960642912819,1.0,0.9999996673216117,0.9980734527849681,0.8787890440894758,1.0,0.8362827923870838,0.9928902882658079,0.9999975304682519,0.999856594273418,0.6997935946127359,0.9980734527849681,0.9127505576003099,0.6997935946127359,0.8641405901695884,1.0,0.9883205153904016,1.0,0.9216794306549022,0.7268115861592793,0.7850361881718323,0.999473237367078,0.6997935946127359,0.8796961091884444,0.9290302033126006,0.8906714569245248,0.9999917452164108,0.8380013160926676,0.8906310600558774,1.0,0.9817607653364773,1.0,0.7375896975238808,0.994876078741319,1.0,0.7850361881718323,0.9999987885371248,0.9947019948954019,0.7850361881718323,0.9998744496768843,0.9533121200199253,0.9877078396959733,0.8941099333531236,0.9980734527849681,1.0,1.0,0.9770857759630728,1.0,0.9167528491195857,0.946022770978493,0.8861982822758568,0.6997935946127359,0.9943594831069064,0.9062931950932813,0.9072403276380822,0.9999742884437393,0.7850361881718323,0.8700380625647754,0.6997935946127359,0.9960251546150104,0.9892522285497573,1.0,0.9999743304316201,0.9784933658506649,0.9954691740797152,0.9915292147203842,1.0,0.6997935946127359,0.9999994443077996,0.9483215468039018,0.6997935946127359,0.6997935946127359,0.9843906921606855,0.909884451812427,0.9915356114827905,0.9810565081089215,0.6951656219948263,1.0,0.9999999957928665,1.0,0.9863837217242685,1.0,0.8523752633527615,0.6951656219948263,0.8715090580569673,1.0,0.999967559607463,0.9810565081089215,0.6951656219948263,1.0,0.9304613290512933,0.8028567360378585,0.9594710158414632,0.9985182185595469,0.9451825955057269,0.998586735512824,0.6997935946127359,0.6997935946127359,1.0,0.9999999999930278,0.9999920796141369,1.0,0.7289924287793967,0.99611784827994,0.9311806478447033,0.6997935946127359,0.9930071597240279,0.9981361812899937,1.0,0.8248263287235421,1.0,0.9999853669089025,0.9999456450179581,0.9996187418441049,0.9095354164027537,0.6997935946127359,0.6997935946127359,0.6997935946127359,0.7509406368026053,0.9840667493135784,0.6997935946127359,0.9594736900839014,0.9999456450179581,0.7628876996824507,0.8990156978280571,0.9595645298238676,0.7815025462827978,0.9949256786590736,1.0,0.9988036439864585,1.0,0.9327603646989739,0.989889346193728,1.0,0.9950783000276626,0.6997935946127359,0.9643522388928283,0.9829410586580168,0.6997935946127359,1.0,0.8149263331551695,1.0,0.9514587342921199,0.6997935946127359,0.9775325908596587,0.9993974150909093,0.6997935946127359,0.9998153258796372,0.6997935946127359,1.0,0.9830375146205954,1.0,0.9992981419699688,0.7301701788086781,0.7301701788086781,0.9968251919285963,0.8412237597087333,0.9908014420349981,0.9964358721351152,0.970150370795237,1.0,0.7130383900208547,0.7700258932902226,0.9999973558817058,0.7700258932902226,0.7275749274370703,0.8362620194552979,0.9990561112522754,0.7219247104927022,0.6997935946127359,0.8779949328342282,0.9813340570436184,0.8868154510750098,1.0,0.898486168317977,0.9998327267994123,0.9813340570436184,0.9998186176447089,1.0,0.9601538803078271,0.9945526758756564,1.0,0.9730176227293097,1.0,0.9375794914506854,0.8839877982988803,0.9999999998468798,0.9632515634994481,0.937165330228703,0.9998153258796372,0.9866466088834844,0.6997935946127359,1.0,0.9990275070678646,0.993145627579194,1.0,0.9039329813652843,0.9848088634595863,0.8045244130235526,1.0,0.9945500827333252,0.8016016562292251,0.9999999735137768,0.7636402747253186,0.9168029548100278,1.0,0.9957057724885071,0.9945526758756564,0.7572954600829259,0.9704663338560714,0.9135938033207031,0.9990275070678646,0.9335608276045076,0.6997935946127359,1.0,0.6997935946127359,0.997508123373463,0.9328799012708973,0.854501389756617,0.9993904852392932,0.8147947827332095,1.0,1.0,0.9521874617457499,0.9985621837250163,0.8387249630768101,0.917528368572967,0.9355715238709268,0.9999929190749994,0.9981550185070037,0.999998316897863,0.9999966513074664,0.8463968609725263,1.0,0.999945728940044,0.999999869797558,0.8406928669687236,0.9999999867812841,1.0,0.9952851390238777,1.0,0.7995767209358151
3,0.7222804361717946,0.7353540902685995,0.8923447391089275,0.9617679134726883,0.6757844642056254,0.6757844642056254,0.9999970575471319,1.0,0.6757844642056254,0.7353540902685995,1.0,0.9986232752061895,0.6757844642056254,0.9906946550089826,0.9978652089224864,0.9939994154330914,0.6825505869559259,0.6757844642056254,0.7353540902685995,1.0,0.6757844642056254,1.0,0.9959810081701235,1.0,0.6757844642056254,0.9992757727202896,0.6757844642056254,0.8469467387455177,0.9066673663612391,0.7861983694540505,1.0,0.9998083653691275,1.0,0.9999113814160089,0.8945307745725175,0.6757844642056254,0.9422919710716857,0.7155246086101739,0.7383438272232374,1.0,0.9960845862882258,0.8226917882086392,0.9997727153251742,1.0,1.0,0.8041817325075468,0.9937355253129879,1.0,0.9999225328425727,0.9848360707278118,0.8149640442720556,1.0,0.7831716772658514,0.963033581086778,0.9996988909773882,0.9975198588217981,0.6757844642056254,0.9848360707278118,0.8631201592352645,0.6757844642056254,0.8047347375515196,1.0,0.9541189537713541,1.0,0.860452266463519,0.6940489265662784,0.7353540902685995,0.9935631437063615,0.6757844642056254,0.8262578811359534,0.8585811392008568,0.8137257472791245,0.9994424913139477,0.77641926712608,0.8291578660553047,1.0,0.9338150648973842,1.0,0.7014726919701338,0.9702068645092854,1.0,0.7353540902685995,0.9998164117789902,0.9698686907722459,0.7353540902685995,0.9968261733866652,0.8889738722550639,0.9490987907523067,0.8284972790492414,0.9848360707278118,1.0,1.0,0.9266332299407714,1.0,0.8502576319089824,0.8915918423511533,0.8204558858459582,0.6757844642056254,0.9677067144306578,0.839027065480935,0.8411323245658071,0.9986184791046974,0.7353540902685995,0.8037738354913564,0.6757844642056254,0.9743536778735638,0.956404519972083,1.0,0.9989347012446156,0.9307951914023915,0.9709961262943472,0.9589548753948086,1.0,0.6757844642056254,0.999902233635662,0.8893677729617673,0.6757844642056254,0.6757844642056254,0.9491293737021885,0.8469467387455177,0.9648346692999692,0.9371367515752759,0.6726994669108686,1.0,0.9999941097528654,1.0,0.9483840693043614,1.0,0.7875215067445387,0.6726994669108686,0.8099224019560598,1.0,0.9982668866925197,0.9371367515752759,0.6726994669108686,1.0,0.8746692362036027,0.7525963412778806,0.9012738377728746,0.9834963856095724,0.8898480080650775,0.9862497089236639,0.6757844642056254,0.6757844642056254,1.0,0.999999897472419,0.9993315251664551,1.0,0.6955441620694476,0.9738121912746225,0.8827360765222274,0.6757844642056254,0.9637449952503743,0.9826197697730936,1.0,0.8003001748527447,1.0,0.9985535505260561,0.9981412479440618,0.9929687711897799,0.84754149901341,0.6757844642056254,0.6757844642056254,0.6757844642056254,0.7107948199607577,0.9390108724790339,0.6757844642056254,0.8984604666516489,0.9981412479440618,0.7329885023274167,0.8397728016810656,0.9135193189604642,0.7382943573420381,0.9696067524446736,1.0,0.9874507140875075,1.0,0.866603677171811,0.9559728364605521,1.0,0.9692019254430315,0.6757844642056254,0.9093051936197262,0.9445380133861142,0.6757844642056254,1.0,0.7642057544938747,1.0,0.8837800421618146,0.6757844642056254,0.9218966922862928,0.9905031190387116,0.6757844642056254,0.9964841169368777,0.6757844642056254,1.0,0.9423850898222068,1.0,0.992021365773889,0.6963530763573023,0.6963530763573023,0.9784621007251937,0.782012961573633,0.9547283273556115,0.9760950385785838,0.9091996959792696,1.0,0.6846808573281846,0.7344053826837277,0.9997007200252261,0.7344053826837277,0.7001685195116865,0.7759891260648685,0.9879678033057104,0.7008708084460028,0.6757844642056254,0.8151844217052977,0.9360824154534615,0.8283041477218808,1.0,0.8322090885020437,0.9954306812934145,0.9360824154534615,0.9958848781304211,1.0,0.910124605744543,0.9648637700151763,1.0,0.9183594352029064,1.0,0.8677683518159717,0.8227827784931253,0.9999993227854201,0.903758866633728,0.8691094617956506,0.9964841169368777,0.9489018316489051,0.6757844642056254,1.0,0.9882536800936412,0.9586119776939356,1.0,0.8304200577584115,0.9405933183115647,0.7506849584413233,1.0,0.9694179603407914,0.7642676321731777,0.9999777853108601,0.7198064297330128,0.8475847818340557,1.0,0.9736097554466079,0.9648637700151763,0.7152855815767354,0.9233877413262098,0.849782662784825,0.9882536800936412,0.8710572500604629,0.6757844642056254,1.0,0.6757844642056254,0.979488618726939,0.8791647532559803,0.8020017861529922,0.9901887742235566,0.7605800797710732,1.0,1.0,0.8935534613830879,0.9836766341538133,0.8039093126753469,0.8495704833166001,0.8684599583790003,0.9993838958140635,0.9859438256286617,0.9997623412779434,0.9995927353850073,0.7847935058782489,1.0,0.9975616898610394,0.999944266895535,0.7925454912966928,0.9999937921654862,1.0,0.9681528743916321,1.0,0.7580402868360726
4,0.7883447161956516,0.8145532875416769,0.9930701490331221,0.9984990659080075,0.6820708142967169,0.6820708142967169,0.9999999999999991,1.0,0.6820708142967169,0.8145532875416769,1.0,0.9999999983651475,0.6820708142967169,0.9999995766068744,0.9999999928428835,0.999999694000668,0.6986130539918926,0.6820708142967169,0.8145532875416769,1.0,0.6820708142967169,1.0,0.9999999619928789,1.0,0.6820708142967169,0.9999999997874001,0.6820708142967169,0.9689695593826335,0.9963368239408428,0.9497745063099056,1.0,0.9999999999999323,1.0,0.9999999999998777,0.995097601745384,0.6820708142967169,0.9997114928217942,0.7741067971137211,0.8609121944901493,1.0,0.9999995440100747,0.981811152470327,0.9999999999612068,1.0,1.0,0.9684165184818193,0.9999995854330666,1.0,0.9999999999900564,0.9999737380850717,0.9716060964063016,1.0,0.9646113873832444,0.9999358963103178,0.9999999999786706,0.999999463424846,0.6820708142967169,0.9999737380850717,0.981136590803449,0.6820708142967169,0.9378031459002861,1.0,0.9995300315683424,1.0,0.9930326328426985,0.7259749107275965,0.8145532875416769,0.9999955818626275,0.6820708142967169,0.9661041300302737,0.9920686639607462,0.9669989168749505,0.999999997537097,0.8844838117131839,0.9682019616930344,1.0,0.9997904849639667,1.0,0.7430799509168912,0.9998571614698728,1.0,0.8145532875416769,0.9999999999836282,0.9999289561816901,0.8145532875416769,0.9999999548963083,0.9958357340284003,0.9996894469409702,0.9865660262441819,0.9999737380850717,1.0,1.0,0.9994673344523223,1.0,0.9872153679607056,0.9912726033830894,0.9623924848451646,0.6820708142967169,0.9999695405331308,0.9790809562502967,0.9871123154675336,0.9999999606094678,0.8145532875416769,0.9203545280537462,0.6820708142967169,0.9999675474868412,0.9994948548048642,1.0,0.9999999691837115,0.9992231979336942,0.9999712435691219,0.9997085309275426,1.0,0.6820708142967169,0.9999999999918951,0.9971343795855604,0.6820708142967169,0.6820708142967169,0.9989668672451006,0.9689695593826335,0.9988098599598633,0.9985401258124359,0.6744312727677163,1.0,0.9999999999999998,1.0,0.9999079624722333,1.0,0.9554227891018295,0.6744312727677163,0.9698176415145787,1.0,0.999999999581705,0.9985401258124359,0.6744312727677163,1.0,0.9857475001358023,0.8878824442895751,0.9978389801080244,0.9999985209951882,0.9953149152636347,0.9999906236768051,0.6820708142967169,0.6820708142967169,1.0,1.0,0.9999999994999211,1.0,0.7294572513831372,0.9999856195485435,0.9870510484416147,0.6820708142967169,0.9999231051690157,0.9999960872885184,1.0,0.9433541589760824,1.0,0.9999999999838656,0.9999999172444463,0.9999998903381875,0.9913400113016858,0.6820708142967169,0.6820708142967169,0.6820708142967169,0.763870375979807,0.9997663998393437,0.6820708142967169,0.9985058290399637,0.9999999172444463,0.8352330184849119,0.9877212342428678,0.9961771641343812,0.8846118190387636,0.9999421164099771,1.0,0.9999994265790275,1.0,0.9927896518677499,0.999797772905521,1.0,0.9999588740548763,0.6820708142967169,0.9987151388024776,0.9988219630361731,0.6820708142967169,1.0,0.8946320656074359,1.0,0.9979526585105543,0.6820708142967169,0.9992997502362415,0.9999994631722962,0.6820708142967169,0.9999997430399635,0.6820708142967169,1.0,0.9986947891763573,1.0,0.999994752044561,0.7313335036832224,0.7313335036832224,0.9999490033220519,0.9269423395665587,0.99995093760018,0.9999772389595337,0.9993774328942147,1.0,0.7037566251716918,0.8941385225227755,0.9999999999701981,0.8941385225227755,0.788330191314467,0.9248379449425224,0.9999995057581492,0.7952644136975776,0.6820708142967169,0.9606520443162311,0.9994559622932504,0.9540023901201816,1.0,0.9815286312110029,0.999999962428818,0.9994559622932504,0.9999991200988612,1.0,0.9933071511547765,0.9999541928721921,1.0,0.9993834086514886,1.0,0.9853989932948425,0.9838760530549818,1.0,0.9985865274947734,0.9973407804408445,0.9999997430399635,0.9995372733116348,0.6820708142967169,1.0,0.9999990798256045,0.9999795246621862,1.0,0.9884203911940531,0.999716850984812,0.9028735861205148,1.0,0.9999696926931939,0.9459689684878029,0.9999999999999929,0.7831841088583393,0.9742847054678037,1.0,0.9999645758441766,0.9999541928721921,0.7735947041504276,0.9991556997539259,0.9915038531418691,0.9999990798256045,0.995211439813584,0.6820708142967169,1.0,0.6820708142967169,0.9999939113803545,0.9893527927122014,0.9740707923285602,0.9999996064544024,0.9341275047519421,1.0,1.0,0.9920112176136516,0.9999990253429285,0.9362883706444697,0.9768466797838133,0.9963279457417751,0.9999999999157843,0.9999839149787954,0.9999999998994322,0.9999999997576681,0.9256099846928022,1.0,0.9999999983377115,0.9999999999997498,0.9585270820043473,0.999999999992524,1.0,0.9999695375810378,1.0,0.9307551721757958
5,0.8084833190222933,0.8288219134862995,0.9815472412017434,0.9964713371433748,0.7273965694604974,0.7273965694604974,0.9999999999979166,1.0,0.7273965694604974,0.8288219134862995,1.0,0.9999993701877318,0.7273965694604974,0.9999581065289531,0.9999977201307815,0.999970860736159,0.7399698410713436,0.7273965694604974,0.8288219134862995,1.0,0.7273965694604974,1.0,0.9999935953402496,1.0,0.7273965694604974,0.9999998995785352,0.7273965694604974,0.9442563980095522,0.9854136700179412,0.8864187028966862,1.0,0.9999999989663853,1.0,0.9999999993534794,0.9826811590202047,0.7273965694604974,0.9964339591054927,0.7975246490495735,0.8257996885866551,1.0,0.9999766243108408,0.9337816641217304,0.9999999770237978,1.0,1.0,0.8821807551369727,0.9999758864612432,1.0,0.9999999958700889,0.9996260110933787,0.9246114641684302,1.0,0.884045038470695,0.9987861486701277,0.9999999847785328,0.9999859505244821,0.7273965694604974,0.9996260110933787,0.9474268463551057,0.7273965694604974,0.897562420038899,1.0,0.9959949745014044,1.0,0.9551947461662643,0.7607687864070699,0.8288219134862995,0.9999236937197674,0.7273965694604974,0.9094985237570073,0.967820390836399,0.9168645209198493,0.9999998184749387,0.8848721174566527,0.9317304129350067,1.0,0.9959232902352998,1.0,0.7737940383897511,0.9986136772883831,1.0,0.8288219134862995,0.9999999908238727,0.9990682113026647,0.8288219134862995,0.9999946036320786,0.9832575347029602,0.997393136253074,0.9410804528466288,0.9996260110933787,1.0,1.0,0.9933129197519657,1.0,0.9518975893861548,0.969562528909536,0.9303262812316245,0.7273965694604974,0.9991474461715845,0.9498793245390789,0.9456217930581499,0.9999976490292158,0.8288219134862995,0.9154165666572291,0.7273965694604974,0.9993121273213441,0.9967757130684628,1.0,0.9999984800802597,0.9939050977895714,0.9992378558386706,0.9973286560031793,1.0,0.7273965694604974,0.999999993864134,0.9781161540579872,0.7273965694604974,0.7273965694604974,0.9950233889151817,0.9442563980095522,0.9974953101763533,0.9935259097899667,0.72158613087503,1.0,0.9999999999946088,1.0,0.9969827868489991,1.0,0.9058179316548965,0.72158613087503,0.9188847259532806,1.0,0.9999996112396946,0.9935259097899667,0.72158613087503,1.0,0.9574054975263473,0.8466907962390743,0.9845972107289861,0.9998844210048675,0.9715773801774971,0.9998065041791088,0.7273965694604974,0.7273965694604974,1.0,0.9999999999999789,0.9999998014096506,1.0,0.7634183877530611,0.9995340860405936,0.9548500086819244,0.7273965694604974,0.9987154955264228,0.9998296412513376,1.0,0.8548198979338685,1.0,0.9999999185330404,0.9999959651727752,0.9999838014510831,0.9511713369599833,0.7273965694604974,0.7273965694604974,0.7273965694604974,0.7896759560289298,0.9966302296475416,0.7273965694604974,0.9861565307690561,0.9999959651727752,0.7940990343984906,0.9401275250663682,0.9811292345807401,0.8249694328806442,0.9993193369678831,1.0,0.9999194973031639,1.0,0.9687413202469168,0.9976531354032225,1.0,0.9988114349852535,0.7273965694604974,0.9876423427942128,0.9934130025944578,0.7273965694604974,1.0,0.8473489993552417,1.0,0.9820880531330226,0.7273965694604974,0.9933179764458931,0.9999727682005214,0.7273965694604974,0.9999871728163455,0.7273965694604974,1.0,0.9949235233059438,1.0,0.9999194855144308,0.7648463637316276,0.7648463637316276,0.9992508013064441,0.8875591094021105,0.9985334867013654,0.9995296954317001,0.9887345607545,1.0,0.7438783938499715,0.8075178417375277,0.9999999706593041,0.8075178417375277,0.7572612477902596,0.8757710249822065,0.9999459895482492,0.7468121984074249,0.7273965694604974,0.9151211388283527,0.9930724347153095,0.9268160825514687,1.0,0.9441655835011248,0.9999948623136152,0.9930724347153095,0.9999651076169752,1.0,0.9799501441621921,0.9987596983274271,1.0,0.9925959320736932,1.0,0.9702131200043086,0.9300471413954168,0.9999999999996807,0.9880286108193292,0.9740886510197908,0.9999871728163455,0.9953981001049859,0.7273965694604974,1.0,0.9999103162528172,0.9991338573308288,1.0,0.9520816115145961,0.9940024281421493,0.8091402730713767,1.0,0.9988928680273477,0.8302601951281048,0.9999999999554994,0.8045050493709849,0.9546850290584635,1.0,0.9993531814375635,0.9987596983274271,0.7971314568013347,0.9902291954152029,0.9548198798292125,0.9999103162528172,0.966595722354151,0.7273965694604974,1.0,0.7273965694604974,0.9997567042056448,0.9601600665422932,0.8979056540908276,0.9999640022579388,0.8592624606528512,1.0,1.0,0.9764191929743667,0.9999116737446002,0.8693237353400433,0.9553251994996158,0.967003370530934,0.9999999281531395,0.9996468669679687,0.9999999550214393,0.999999907961481,0.8925740532365201,1.0,0.9999991845468558,0.9999999993493591,0.8747701834168652,0.9999999998380034,1.0,0.9994684884422288,1.0,0.8356454408201389
